broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Connecting tubular cell,,CALB1,Human,Kidney,Kidney,Normal,Normal cell,Connecting tubular cell
Connecting tubular cell,,Egf,Human,Kidney,Kidney,Normal,Normal cell,Connecting tubular cell
Connecting tubular cell,,Klk1,Human,Kidney,Kidney,Normal,Normal cell,Connecting tubular cell
Connecting tubular cell,,Trpv5,Human,Kidney,Kidney,Normal,Normal cell,Connecting tubular cell
Connecting tubular cell,,Scnn1g,Human,Kidney,Kidney,Normal,Normal cell,Connecting tubular cell
Connecting tubular cell,,S100g,Human,Kidney,Kidney,Normal,Normal cell,Connecting tubular cell
Connecting tubular cell,,Trpm6,Human,Kidney,Kidney,Normal,Normal cell,Connecting tubular cell
Connecting tubular cell,,Calb1,Human,Kidney,Kidney,Normal,Normal cell,Connecting tubular cell
Connecting tubular cell,,Slc8a1,Human,Kidney,Kidney,Normal,Normal cell,Connecting tubular cell
Connecting tubular cell,,Kcne1,Human,Kidney,Kidney,Normal,Normal cell,Connecting tubular cell
Connecting tubular cell,,Atp2b1,Human,Kidney,Kidney,Normal,Normal cell,Connecting tubular cell
Connecting tubular cell,,Scnn1b,Human,Kidney,Kidney,Normal,Normal cell,Connecting tubular cell
